Iliad Line,Label,First Scholion,Second Scholion
urn:cts:greekLit:tlg0012.tlg001.msA:10.207,MainExt,urn:cts:greekLit:tlg5026.msA.hmt:10.2004,urn:cts:greekLit:tlg5026.msAext.hmt:10.2000
urn:cts:greekLit:tlg0012.tlg001.msA:10.266,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.2508,urn:cts:greekLit:tlg5026.msAint.hmt:10.2518
urn:cts:greekLit:tlg0012.tlg001.msA:10.317,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.3005,urn:cts:greekLit:tlg5026.msAint.hmt:10.3010
urn:cts:greekLit:tlg0012.tlg001.msA:10.321,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.3006,urn:cts:greekLit:tlg5026.msAint.hmt:10.3011
urn:cts:greekLit:tlg0012.tlg001.msA:10.330,MainExt,urn:cts:greekLit:tlg5026.msA.hmt:10.3501,urn:cts:greekLit:tlg5026.msAext.hmt:10.3524
urn:cts:greekLit:tlg0012.tlg001.msA:10.336,ImExt,urn:cts:greekLit:tlg5026.msAext.hmt:10.3526,urn:cts:greekLit:tlg5026.msAim.hmt:10.3516
urn:cts:greekLit:tlg0012.tlg001.msA:10.343,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.3509,urn:cts:greekLit:tlg5026.msAint.hmt:10.3520
urn:cts:greekLit:tlg0012.tlg001.msA:10.347,ImInt,urn:cts:greekLit:tlg5026.msAim.hmt:10.3518,urn:cts:greekLit:tlg5026.msAint.hmt:10.3522
urn:cts:greekLit:tlg0012.tlg001.msA:10.354,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.3542,urn:cts:greekLit:tlg5026.msAint.hmt:10.3559
urn:cts:greekLit:tlg0012.tlg001.msA:10.375,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.3553,urn:cts:greekLit:tlg5026.msAim.hmt:10.3356
urn:cts:greekLit:tlg0012.tlg001.msA:10.408,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.4006,urn:cts:greekLit:tlg5026.msAim.hmt:10.4004
urn:cts:greekLit:tlg0012.tlg001.msA:10.418,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.4500,urn:cts:greekLit:tlg5026.msAim.hmt:10.4013
urn:cts:greekLit:tlg0012.tlg001.msA:10.431,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.4511,urn:cts:greekLit:tlg5026.msAim.hmt:10.4522
urn:cts:greekLit:tlg0012.tlg001.msA:10.461,ImInt,urn:cts:greekLit:tlg5026.msAim.hmt:10.4550,urn:cts:greekLit:tlg5026.msAint.hmt:10.4554
urn:cts:greekLit:tlg0012.tlg001.msA:10.464,ImExt,urn:cts:greekLit:tlg5026.msAext.hmt:10.4559,urn:cts:greekLit:tlg5026.msAim.hmt:10.4551
urn:cts:greekLit:tlg0012.tlg001.msA:10.476,MainExt,urn:cts:greekLit:tlg5026.msA.hmt:10.4548,urn:cts:greekLit:tlg5026.msAext.hmt:10.4560
urn:cts:greekLit:tlg0012.tlg001.msA:10.505,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.4606,urn:cts:greekLit:tlg5026.msAim.hmt:10.4613
urn:cts:greekLit:tlg0012.tlg001.msA:10.515,MainExt,urn:cts:greekLit:tlg5026.msA.hmt:10.4609,urn:cts:greekLit:tlg5026.msAext.hmt:10.4616
urn:cts:greekLit:tlg0012.tlg001.msA:10.528,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.4632,urn:cts:greekLit:tlg5026.msAim.hmt:10.4637
urn:cts:greekLit:tlg0012.tlg001.msA:10.534,ImExt,urn:cts:greekLit:tlg5026.msAext.hmt:10.4646,urn:cts:greekLit:tlg5026.msAim.hmt:10.4640
urn:cts:greekLit:tlg0012.tlg001.msA:10.546,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.4636,urn:cts:greekLit:tlg5026.msAim.hmt:10.4644
urn:cts:greekLit:tlg0012.tlg001.msA:10.559,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.4656,urn:cts:greekLit:tlg5026.msAint.hmt:10.4666
urn:cts:greekLit:tlg0012.tlg001.msA:10.570,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.4658,urn:cts:greekLit:tlg5026.msAint.hmt:10.4667
urn:cts:greekLit:tlg0012.tlg001.msA:10.579,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.4663,urn:cts:greekLit:tlg5026.msAim.hmt:10.4665
urn:cts:greekLit:tlg0012.tlg001.msA:10.6,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.5,urn:cts:greekLit:tlg5026.msAint.hmt:10.32
urn:cts:greekLit:tlg0012.tlg001.msA:10.75,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.81,urn:cts:greekLit:tlg5026.msAim.hmt:10.85
urn:cts:greekLit:tlg0012.tlg001.msA:10.79,ImInt,urn:cts:greekLit:tlg5026.msAim.hmt:10.104,urn:cts:greekLit:tlg5026.msAint.hmt:10.106
urn:cts:greekLit:tlg0012.tlg001.msA:11.1,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:11.1,urn:cts:greekLit:tlg5026.msAint.hmt:11.1
urn:cts:greekLit:tlg0012.tlg001.msA:11.104,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.53,urn:cts:greekLit:tlg5026.msAim.hmt:11.13
urn:cts:greekLit:tlg0012.tlg001.msA:11.11,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.4,urn:cts:greekLit:tlg5026.msAim.hmt:11.1
urn:cts:greekLit:tlg0012.tlg001.msA:11.128,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.63,urn:cts:greekLit:tlg5026.msAim.hmt:11.16
urn:cts:greekLit:tlg0012.tlg001.msA:11.140,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.66,urn:cts:greekLit:tlg5026.msAim.hmt:11.19
urn:cts:greekLit:tlg0012.tlg001.msA:11.141,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.67,urn:cts:greekLit:tlg5026.msAim.hmt:11.20
urn:cts:greekLit:tlg0012.tlg001.msA:11.144,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.69,urn:cts:greekLit:tlg5026.msAim.hmt:11.3003
urn:cts:greekLit:tlg0012.tlg001.msA:11.184,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.86,urn:cts:greekLit:tlg5026.msAim.hmt:11.22
urn:cts:greekLit:tlg0012.tlg001.msA:11.24,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.10,urn:cts:greekLit:tlg5026.msAim.hmt:11.2
urn:cts:greekLit:tlg0012.tlg001.msA:11.256,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.109,urn:cts:greekLit:tlg5026.msAim.hmt:11.25
urn:cts:greekLit:tlg0012.tlg001.msA:11.257,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:11.110,urn:cts:greekLit:tlg5026.msAint.hmt:11.10
urn:cts:greekLit:tlg0012.tlg001.msA:11.27,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:11.13,urn:cts:greekLit:tlg5026.msAim.hmt:11.3
urn:cts:greekLit:tlg0012.tlg001.msA:11.300,IntExt,urn:cts:greekLit:tlg5026.msAext.hmt:11.6,urn:cts:greekLit:tlg5026.msAint.hmt:11.12
urn:cts:greekLit:tlg0012.tlg001.msA:11.32,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:11.15,urn:cts:greekLit:tlg5026.msAint.hmt:11.4
