οὗν	noun_preposition_preposition_	ὗς_ἐν_εἰς_
πεῖσαι	noun_verb_	πεῖσα_πείθω_
ἀποστάσει	noun_verb_verb_	ἀπόστασις_ἀποστάζω_ἀφεστήξω_
ἐσπόμεθ'	verb_verb_	ἔσπον_ἕπομαι_
τῦφον	noun_verb_	τῦφος_τύφω_
Νύσῃ	noun_noun_noun_	νύσα_Νύση_Νῦσα_
Παναχαιῶν	adjective_noun_	Παναχαιός_Παναχαιοί_
ἀκτίνων	noun_adjective_	ἀκτίς_ἄκτινος_
Φοῖβε	noun_adjective_	Φοῖβος_φοῖβος_
τέλεον	verb_adjective_	τελέω_τέλειος_
διενεύσατο	verb_ἐν-εὕ_	διά-νεύω_διά_
Θεσσαλίας	noun_noun_	Θεσσαλία_Θεσσαλίη_
Ἑλικώνιον	adjective_adjective_	Ἑλικώνιος_Ἑλικών_
ἐπήγνυτο	verb_verb_	πήγνυμι_ἐπάγνυμι_
ἐδέησε	verb_verb_	δεῖ_δέω2_
ἐπολέμουν	verb_verb_	πολεμέω_πολεμόω_
Αἰγέα	noun_adjective_noun_	Αἰγεύς_αἴγεος_Αἰγίς_
περικεφαλαίας	adjective_noun_	περικεφάλαιος_περικεφαλαία_
ἴσαν	verb_adjective_verb_	εἶμι_ἴσος_οἶδα_
δυσώδεις	verb_adjective_	δυσωδέω_δυσώδης_
ποιούμενος	verb_verb_	ποιόω_ποιέω_
Βοιωτίας	noun_adjective_	Βοιωτία_Βοιώτιος_
δεινοῖς	adjective_verb_	δεινός_δεινόω_
Πόδαργε	adjective_noun_	πόδαργος_Πόδαργος_
ὁμοίοις	adjective_adjective_	ὁμοῖος_ὅμοιος_
ποιήσει	noun_verb_	ποίησις_ποιέω_
ἔδυσαν	verb_verb_	δύω2_δύω1_
ἀποφάσει	verb_noun_noun_	ἀπόφημι_ἀπόφασις1_ἀπόφασις2_
ἄμοτον	adverb_adjective_	ἄμοτον_ἄμοτος_
Ἱξίων	noun_verb_	ἵξις_ἵκω_
πρῶτόν	adjective_adjective_	πρότερος_πρῶτος_
οὕτ'	adverb_verb_conjunction_noun_noun_	ἔτι_ἵημι_ὅτε_ἔται_ἔτης_
Αἴθρῃ	noun_noun_	Αἴθρη_αἴθρη_
ἀπειλοῦντι	verb_verb_verb_	ἀπειλέω_ἀπειλέω1_ἀπειλέω2_
πολεμοῦν	verb_verb_	πολεμόω_πολεμέω_
νῆσαι	verb_verb_verb_	νέω3_νέω_νέω2_
κοῦρος	noun_noun_	κοῦρος_κόρος2_
Κλειτὸν	adjective_noun_	κλειτός_Κλειτός_
τελευτῆς	verb_noun_	τελευτάω_τελευτή_
θεοσεβεῖς	adjective_verb_	θεοσεβής_θεοσεβέω_
Λυκίαν	noun_adjective_	Λυκία_Λύκιος_
Κηρύκων	noun_noun_noun_	κῆρυξ_Κήρυξ_Κήρυκες_
Κλειοῖ	verb_noun_	κλῄζω1_Κλειώ_
ὁπλῶν	noun_verb_	ὁπλή_ὁπλέω_
δαιμόνι'	noun_adjective_	δαιμόνιον_δαιμόνιος_
κρείττους	adjective_verb_	κρείσσων_κρεισσόω_
ἐλαίαν	noun_verb_	ἐλαία_ἐλαιάω_
λέγων	verb_verb_adjective_verb_	λέγω3_λέγω2_λέγος_λέγω1_
δοκεῖ	noun_verb_	δοκεύς_δοκέω_
δασέων	adjective_noun_	δασύς_δάσος_
τέλει	verb_noun_	τελέω_τέλος_
Εὐριπίδῃ	noun_noun_	εὐριπίδης_Εὐριπίδης_
βάτην	verb_noun_	βαίνω_βάτης_
ἤγερθεν	verb_verb_	ἐγείρω_ἀγείρω_
ξανθοὶ	adjective_verb_	ξανθός_ξανθόω_
ἀρητὸν	adjective_adjective_	ἀρατός_ἀρητός_
διαμπερὲς	adverb_adjective_	διαμπερές_διαμπερής_
Φήμιον	noun_noun_	φήμιος_Φήμιος_
τελεῖ	verb_verb_	τελέω_τέλλω_
εἴρας	noun_verb_	εἴρη_εἴρω_
τίσωσι	verb_verb_	τίνω_τίζω_
τελείως	adjective_verb_	τέλειος_τελειόω_
φρίκην	noun_noun_	φρίκη_φρῖκος_
βολῆς	noun_verb_	βολή_βολέω_
γυμνοῖς	verb_adjective_	γυμνόω_γυμνός_
διπλοῦς	verb_adjective_	διπλόω_διπλόος_
Πέπλῳ	noun_adjective_	πέπλος_πεπλος_
μεταγενεστέρας	adjective_adjective_	μεταγενέστερος_μεταγενής_
ἠπείλησεν	verb_verb_verb_	ἐπειλέω_ἀπειλέω_ἀπειλέω2_
νέες	verb_noun_verb_verb_verb_	νέω3_ναῦς_νέω2_νέω_νέω1_
ὤθει	verb_verb_	ὀθέω_ὠθέω_
δῆσαι	verb_verb_verb_	δέομαι_δέω1_δέω2_
ξανθῶ	verb_verb_adjective_	ξανθόω_ξαίνω_ξανθός_
βουλευταῖς	adjective_noun_	βουλευτός_βουλευτής_
ὑμεναίους	noun_verb_	ὑμέναιος_ὑμεναιόω_
ἥρωα	noun_noun_	ἥρως_ἥρως_
ἔλαθεν	verb_verb_	λανθάνω_ἐλαύνω_
μικρῶ	adjective_adjective_	μικρός_σμικρός_
Τυρὼ	noun_noun_	τυρός_Τυρώ_
Μαχάων	noun_noun_	μάχη_Μαχάων_
οὐρίων	noun_adjective_verb_noun_verb_	οὔριον_οὔριος_οὐριόω_ὄρος_οὐρέω_
μορίου	noun_adjective_	μόριον_μόριος_
οἴην	noun_verb_adjective_	οἴη_οἰάω_οἶος_
ζυγῶ	noun_verb_verb_verb_noun_	ζυγός_ζεύγνυμι_ζυγόω_ζυγέω_ζυγόν_
ἔλασσον	verb_adjective_	ἐλαύνω_ἐλάσσων_
Ἀσίω	adjective_verb_adjective_noun_	ἄσιος_ἄω3_Ἄσιος_Ἀσίας_
ἴωμεν	verb_verb_	εἰμί_εἶμι_
κνίσης	verb_noun_	κνισάω_κνῖσα_
νοῦ	verb_verb_verb_verb_verb_noun_	νέω1_νέομαι_νέω̄_νέω_νέω3_νόος_
ῥηθὲν	verb_verb_	ἐρῶ_ῥέομαι_
κυνῶν	noun_verb_verb_noun_	κύων_κυνάω_κυνέω_κυνώ_
βρόγχον	noun_noun_	βρόγκος_βρόγχος_
ὁρμῶσι	verb_verb_	ὁρμέω_ὁρμάω_
αἰκιζόμενος	verb_verb_	αἰκίζω_αἰκίζομαι_
ἄρθρω	verb_noun_	ἀρθρόω_ἄρθρον_
Ῥήσω	noun_verb_	Ῥῆσος_ῥέομαι_
λύπης	noun_verb_	λύπη_λυπέω_
Ἀρίσταρχός	noun_noun_	Ἀρίσταρχος_ἀρίσταρχος_
κονίῃσιν	adjective_verb_noun_	κόνιος_κονίω_κονία_
συγκλείσῃ	noun_verb_	σύγκλεισις_συγκλείω_
μυρίων	adjective_verb_	μυρίος_μύρω_
σὴν	noun_adjective_	σής_σός_
ἡδονῶν	noun_noun_	ἡδονή_ἡδονά_
νεωτέρου	adjective_adjective_	νέος_νεώτερος_
ἀκονῶν	verb_noun_	ἀκονάω_ἀκόνη_
