Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msAint.hmt:2.394 (12) vs msAil.hmt:2.401 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msAim.hmt:2.390 (13) vs msAint.hmt:2.394 (12): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.534 (58) vs msA.hmt:2.535 (25): 10.0 (40.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.534 (58) vs msAil.hmt:2.544 (3): 2.0 (66.67%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.534 (58) vs msAil.hmt:2.545 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.534 (58) vs msAim.hmt:2.540 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.535 (25) vs msAil.hmt:2.544 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.535 (25) vs msAil.hmt:2.545 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msA.hmt:2.535 (25) vs msAim.hmt:2.540 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msAil.hmt:2.544 (3) vs msAil.hmt:2.545 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msAil.hmt:2.544 (3) vs msAim.hmt:2.540 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.435	msAil.hmt:2.545 (2) vs msAim.hmt:2.540 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.67 (28) vs msA.hmt:2.66 (22): 4.0 (18.18%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.66 (22) vs msAil.hmt:2.96 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.66 (22) vs msAil.hmt:2.97 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.66 (22) vs msAint.hmt:2.74 (9): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.67 (28) vs msAil.hmt:2.96 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.67 (28) vs msAil.hmt:2.97 (5): 2.0 (40.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msA.hmt:2.67 (28) vs msAint.hmt:2.74 (9): 1.0 (11.11%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msAil.hmt:2.97 (5) vs msAil.hmt:2.96 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msAint.hmt:2.74 (9) vs msAil.hmt:2.96 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.56	msAint.hmt:2.74 (9) vs msAil.hmt:2.97 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.742 (70) vs msA.hmt:2.741 (49): 9.0 (18.37%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.741 (49) vs msA.hmt:2.743 (28): 5.0 (17.86%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.741 (49) vs msAil.hmt:2.750 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.741 (49) vs msAim.hmt:2.748 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.742 (70) vs msA.hmt:2.743 (28): 7.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.742 (70) vs msAil.hmt:2.750 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.742 (70) vs msAim.hmt:2.748 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.743 (28) vs msAil.hmt:2.750 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msA.hmt:2.743 (28) vs msAim.hmt:2.748 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.765	msAil.hmt:2.750 (2) vs msAim.hmt:2.748 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msA.hmt:2.123 (62) vs msAil.hmt:2.148 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msA.hmt:2.123 (62) vs msAil.hmt:2.149 (3): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msA.hmt:2.123 (62) vs msAim.hmt:2.134 (11): 4.0 (36.36%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	msA.hmt:2.123 (62) vs msAint.hmt:2.139 (2): 1.0 (50.0%)
